DATE,VALUE
2007-04-01,.
2007-05-01,7.32062
2007-06-01,7.32283
2007-07-01,7.32693
2007-08-01,7.28250
2007-09-01,7.31130
2007-10-01,7.33932
2007-11-01,7.28851
2007-12-01,7.29928
2008-01-01,7.22894
2008-02-01,7.21146
2008-03-01,7.18307
2008-04-01,7.22291
2008-05-01,7.24652
2008-06-01,7.20136
2008-07-01,7.13675
2008-08-01,7.15576
2008-09-01,7.10415
2008-10-01,6.87606
2008-11-01,6.78337
2008-12-01,6.77715
2009-01-01,6.76340
2009-02-01,6.69113
2009-03-01,6.62953
2009-04-01,6.74306
2009-05-01,6.80507
2009-06-01,6.83100
2009-07-01,6.84142
2009-08-01,6.91743
2009-09-01,6.95134
2009-10-01,6.97322
2009-11-01,6.99216
2009-12-01,7.01246
2010-01-01,7.02428
2010-02-01,6.99316
2010-03-01,7.04930
2010-04-01,7.08784
2010-05-01,7.02559
2010-06-01,6.98782
2010-07-01,6.98453
2010-08-01,6.99143
2010-09-01,7.02294
2010-10-01,7.06611
2010-11-01,7.08915
2010-12-01,7.12410
2011-01-01,7.15666
2011-02-01,7.18624
2011-03-01,7.17357
2011-04-01,7.19407
2011-05-01,7.19916
2011-06-01,7.16029
2011-07-01,7.18930
2011-08-01,7.07776
2011-09-01,7.06807
2011-10-01,7.09608
2011-11-01,7.11185
2011-12-01,7.12554
2012-01-01,7.17057
2012-02-01,7.20970
2012-03-01,7.23651
2012-04-01,7.23449
2012-05-01,7.20137
2012-06-01,7.18802
2012-07-01,7.21508
2012-08-01,7.24668
2012-09-01,7.27477
2012-10-01,7.27088
2012-11-01,7.24030
2012-12-01,7.26002
2013-01-01,7.30007
2013-02-01,7.32139
2013-03-01,7.34655
2013-04-01,7.35928
2013-05-01,7.40235
2013-06-01,7.38942
2013-07-01,7.41979
2013-08-01,7.42063
2013-09-01,7.43081
2013-10-01,7.45010
2013-11-01,7.48636
2013-12-01,7.49985
2014-01-01,7.50789
2014-02-01,7.50496
2014-03-01,7.53022
2014-04-01,7.53062
2014-05-01,7.54421
2014-06-01,7.57409
2014-07-01,7.58736
2014-08-01,7.58148
2014-09-01,7.59751
2014-10-01,7.56904
2014-11-01,7.62294
2014-12-01,7.62768
2015-01-01,7.61489
2015-02-01,7.64118
2015-03-01,7.64012
2015-04-01,7.64724
2015-05-01,7.65536
2015-06-01,7.64935
2015-07-01,7.64690
2015-08-01,7.62064
2015-09-01,7.57271
2015-10-01,7.61323
2015-11-01,7.64042
2015-12-01,7.62758
2016-01-01,7.55935
2016-02-01,7.55193
2016-03-01,7.61182
2016-04-01,7.63798
2016-05-01,7.63315
2016-06-01,7.64199
2016-07-01,7.67271
2016-08-01,7.68592
2016-09-01,7.67679
2016-10-01,7.66997
2016-11-01,7.68017
2016-12-01,7.71719
2017-01-01,7.72979
2017-02-01,7.75358
