Year,Period,labor force,employment,unemployment,unemployment rate
2007,Jan,1134639,1073299,61340,5.4
2007,Feb,1138297,1075914,62383,5.5
2007,Mar,1139649,1079579,60070,5.3
2007,Apr,1135817,1079570,56247,5.0
2007,May,1135088,1081737,53351,4.7
2007,Jun,1136472,1080504,55968,4.9
2007,Jul,1145872,1088013,57859,5.0
2007,Aug,1150534,1091714,58820,5.1
2007,Sep,1145380,1092224,53156,4.6
2007,Oct,1153770,1100287,53483,4.6
2007,Nov,1164131,1109060,55071,4.7
2007,Dec,1159257,1103910,55347,4.8
2008,Jan,1160535,1097210,63325,5.5
2008,Feb,1158351,1094107,64244,5.5
2008,Mar,1160246,1097211,63035,5.4
2008,Apr,1160531,1101859,58672,5.1
2008,May,1158509,1099606,58903,5.1
2008,Jun,1163332,1098402,64930,5.6
2008,Jul,1174280,1104699,69581,5.9
2008,Aug,1180749,1106163,74586,6.3
2008,Sep,1172338,1102005,70333,6.0
2008,Oct,1181220,1102028,79192,6.7
2008,Nov,1188604,1100629,87975,7.4
2008,Dec,1185573,1086713,98860,8.3
2009,Jan,1186252,1069533,116719,9.8
2009,Feb,1191844,1063009,128835,10.8
2009,Mar,1190406,1055774,134632,11.3
2009,Apr,1189368,1056208,133160,11.2
2009,May,1183058,1051953,131105,11.1
2009,Jun,1181789,1047621,134168,11.4
2009,Jul,1183988,1050272,133716,11.3
2009,Aug,1189233,1056304,132929,11.2
2009,Sep,1173221,1048324,124897,10.6
2009,Oct,1177054,1051576,125478,10.7
2009,Nov,1183442,1059335,124107,10.5
2009,Dec,1180308,1052405,127903,10.8
2010,Jan,1200154(R),1063580(R),136574(R),11.4(R)
2010,Feb,1200471(R),1064735(R),135736(R),11.3(R)
2010,Mar,1205387(R),1068747(R),136640(R),11.3(R)
2010,Apr,1207952(R),1079629(R),128323(R),10.6(R)
2010,May,1201817(R),1079379(R),122438(R),10.2(R)
2010,Jun,1205128(R),1081250(R),123878(R),10.3(R)
2010,Jul,1204527(R),1083081(R),121446(R),10.1(R)
2010,Aug,1214325(R),1092892(R),121433(R),10.0(R)
2010,Sep,1205595(R),1090909(R),114686(R),9.5(R)
2010,Oct,1211568(R),1098096(R),113472(R),9.4(R)
2010,Nov,1221273(R),1104256(R),117017(R),9.6(R)
2010,Dec,1214605(R),1101775(R),112830(R),9.3(R)
2011,Jan,1213828(R),1092799(R),121029(R),10.0(R)
2011,Feb,1213013(R),1094307(R),118706(R),9.8(R)
2011,Mar,1214568(R),1099366(R),115202(R),9.5(R)
2011,Apr,1214156(R),1105866(R),108290(R),8.9(R)
2011,May,1212530(R),1105495(R),107035(R),8.8(R)
2011,Jun,1216691(R),1105742(R),110949(R),9.1(R)
2011,Jul,1215047(R),1105174(R),109873(R),9.0(R)
2011,Aug,1219061(R),1109456(R),109605(R),9.0(R)
2011,Sep,1209434(R),1106389(R),103045(R),8.5(R)
2011,Oct,1215246(R),1112115(R),103131(R),8.5(R)
2011,Nov,1219577(R),1118268(R),101309(R),8.3(R)
