Series ID,Year,Period,Label,Value
LNU04000000,2007,M01,2007 Jan,5.0
LNU04000000,2007,M02,2007 Feb,4.9
LNU04000000,2007,M03,2007 Mar,4.5
LNU04000000,2007,M04,2007 Apr,4.3
LNU04000000,2007,M05,2007 May,4.3
LNU04000000,2007,M06,2007 Jun,4.7
LNU04000000,2007,M07,2007 Jul,4.9
LNU04000000,2007,M08,2007 Aug,4.6
LNU04000000,2007,M09,2007 Sep,4.5
LNU04000000,2007,M10,2007 Oct,4.4
LNU04000000,2007,M11,2007 Nov,4.5
LNU04000000,2007,M12,2007 Dec,4.8
LNU04000000,2008,M01,2008 Jan,5.4
LNU04000000,2008,M02,2008 Feb,5.2
LNU04000000,2008,M03,2008 Mar,5.2
LNU04000000,2008,M04,2008 Apr,4.8
LNU04000000,2008,M05,2008 May,5.2
LNU04000000,2008,M06,2008 Jun,5.7
LNU04000000,2008,M07,2008 Jul,6.0
LNU04000000,2008,M08,2008 Aug,6.1
LNU04000000,2008,M09,2008 Sep,6.0
LNU04000000,2008,M10,2008 Oct,6.1
LNU04000000,2008,M11,2008 Nov,6.5
LNU04000000,2008,M12,2008 Dec,7.1
LNU04000000,2009,M01,2009 Jan,8.5
LNU04000000,2009,M02,2009 Feb,8.9
LNU04000000,2009,M03,2009 Mar,9.0
LNU04000000,2009,M04,2009 Apr,8.6
LNU04000000,2009,M05,2009 May,9.1
LNU04000000,2009,M06,2009 Jun,9.7
LNU04000000,2009,M07,2009 Jul,9.7
LNU04000000,2009,M08,2009 Aug,9.6
LNU04000000,2009,M09,2009 Sep,9.5
LNU04000000,2009,M10,2009 Oct,9.5
LNU04000000,2009,M11,2009 Nov,9.4
LNU04000000,2009,M12,2009 Dec,9.7
LNU04000000,2010,M01,2010 Jan,10.6
LNU04000000,2010,M02,2010 Feb,10.4
LNU04000000,2010,M03,2010 Mar,10.2
LNU04000000,2010,M04,2010 Apr,9.5
LNU04000000,2010,M05,2010 May,9.3
LNU04000000,2010,M06,2010 Jun,9.6
LNU04000000,2010,M07,2010 Jul,9.7
LNU04000000,2010,M08,2010 Aug,9.5
LNU04000000,2010,M09,2010 Sep,9.2
LNU04000000,2010,M10,2010 Oct,9.0
LNU04000000,2010,M11,2010 Nov,9.3
LNU04000000,2010,M12,2010 Dec,9.1
LNU04000000,2011,M01,2011 Jan,9.8
LNU04000000,2011,M02,2011 Feb,9.5
LNU04000000,2011,M03,2011 Mar,9.2
LNU04000000,2011,M04,2011 Apr,8.7
LNU04000000,2011,M05,2011 May,8.7
LNU04000000,2011,M06,2011 Jun,9.3
LNU04000000,2011,M07,2011 Jul,9.3
LNU04000000,2011,M08,2011 Aug,9.1
LNU04000000,2011,M09,2011 Sep,8.8
LNU04000000,2011,M10,2011 Oct,8.5
LNU04000000,2011,M11,2011 Nov,8.2
LNU04000000,2011,M12,2011 Dec,8.3
LNU04000000,2012,M01,2012 Jan,8.8
LNU04000000,2012,M02,2012 Feb,8.7
LNU04000000,2012,M03,2012 Mar,8.4
LNU04000000,2012,M04,2012 Apr,7.7
LNU04000000,2012,M05,2012 May,7.9
LNU04000000,2012,M06,2012 Jun,8.4
LNU04000000,2012,M07,2012 Jul,8.6
LNU04000000,2012,M08,2012 Aug,8.2
LNU04000000,2012,M09,2012 Sep,7.6
LNU04000000,2012,M10,2012 Oct,7.5
LNU04000000,2012,M11,2012 Nov,7.4
LNU04000000,2012,M12,2012 Dec,7.6
LNU04000000,2013,M01,2013 Jan,8.5
LNU04000000,2013,M02,2013 Feb,8.1
LNU04000000,2013,M03,2013 Mar,7.6
LNU04000000,2013,M04,2013 Apr,7.1
LNU04000000,2013,M05,2013 May,7.3
LNU04000000,2013,M06,2013 Jun,7.8
LNU04000000,2013,M07,2013 Jul,7.7
LNU04000000,2013,M08,2013 Aug,7.3
LNU04000000,2013,M09,2013 Sep,7.0
LNU04000000,2013,M10,2013 Oct,7.0
LNU04000000,2013,M11,2013 Nov,6.6
LNU04000000,2013,M12,2013 Dec,6.5
LNU04000000,2014,M01,2014 Jan,7.0
LNU04000000,2014,M02,2014 Feb,7.0
LNU04000000,2014,M03,2014 Mar,6.8
LNU04000000,2014,M04,2014 Apr,5.9
LNU04000000,2014,M05,2014 May,6.1
LNU04000000,2014,M06,2014 Jun,6.3
LNU04000000,2014,M07,2014 Jul,6.5
LNU04000000,2014,M08,2014 Aug,6.3
LNU04000000,2014,M09,2014 Sep,5.7
LNU04000000,2014,M10,2014 Oct,5.5
LNU04000000,2014,M11,2014 Nov,5.5
LNU04000000,2014,M12,2014 Dec,5.4
LNU04000000,2015,M01,2015 Jan,6.1
LNU04000000,2015,M02,2015 Feb,5.8
LNU04000000,2015,M03,2015 Mar,5.6
LNU04000000,2015,M04,2015 Apr,5.1
LNU04000000,2015,M05,2015 May,5.3
LNU04000000,2015,M06,2015 Jun,5.5
LNU04000000,2015,M07,2015 Jul,5.6
LNU04000000,2015,M08,2015 Aug,5.2
LNU04000000,2015,M09,2015 Sep,4.9
LNU04000000,2015,M10,2015 Oct,4.8
LNU04000000,2015,M11,2015 Nov,4.8
LNU04000000,2015,M12,2015 Dec,4.8
LNU04000000,2016,M01,2016 Jan,5.3
LNU04000000,2016,M02,2016 Feb,5.2
LNU04000000,2016,M03,2016 Mar,5.1
LNU04000000,2016,M04,2016 Apr,4.7
LNU04000000,2016,M05,2016 May,4.5
LNU04000000,2016,M06,2016 Jun,5.1
LNU04000000,2016,M07,2016 Jul,5.1
LNU04000000,2016,M08,2016 Aug,5.0
LNU04000000,2016,M09,2016 Sep,4.8
LNU04000000,2016,M10,2016 Oct,4.7
LNU04000000,2016,M11,2016 Nov,4.4
LNU04000000,2016,M12,2016 Dec,4.5
LNU04000000,2017,M01,2017 Jan,5.1
LNU04000000,2017,M02,2017 Feb,4.9
LNU04000000,2017,M03,2017 Mar,4.6
